time_stamp	x	y	v	theta	omega	measure_x	measure_y	predict_x	predict_y	predict_v	predict_theta	predict_omega	true_x	true_y	true_v
1477010446250000	16.5936	4.56273	5.07387	0.639043	0.269066	16.7586	4.48231	16.5637	4.60294	5.07148	0.657031	0.287783	16.4242	4.42242	4.98243
1477010446350000	16.9102	4.97638	4.96848	0.73947	0.376034	16.9236	5.10119	16.9936	4.86994	5.07387	0.66595	0.269066	16.7983	4.75103	4.97244
1477010446450000	17.2882	5.1875	4.87996	0.747455	0.36324	17.3421	4.64623	17.2679	5.31692	4.96848	0.777073	0.376034	17.1578	5.09409	4.96252
1477010446550000	17.6473	5.38452	4.76351	0.758162	0.360368	17.6463	4.74597	17.6371	5.5247	4.87996	0.783779	0.36324	17.5019	5.45128	4.9527
1477010446650000	17.9338	5.8146	4.75653	0.842787	0.420996	17.9216	6.07151	17.9843	5.71734	4.76351	0.794199	0.360368	17.8297	5.82221	4.943
1477010446750000	18.2128	6.29074	4.82965	0.912548	0.435117	18.1245	6.79027	18.2399	6.17514	4.75653	0.884887	0.420996	18.1403	6.20641	4.93344
1477010446850000	18.4681	6.75201	4.86271	0.981066	0.457554	18.4022	7.02231	18.4971	6.6779	4.82965	0.95606	0.435117	18.4328	6.60333	4.92404
1477010446950000	18.7677	7.13684	4.88741	0.994231	0.405944	18.8089	7.24388	18.7266	7.16096	4.86271	1.02682	0.457554	18.7064	7.01237	4.91484
1477010447050000	18.9396	7.57562	4.84388	1.07564	0.464966	18.5479	7.4012	19.0233	7.55077	4.88741	1.03483	0.405944	18.9604	7.43283	4.90586
1477010447150000	19.2071	7.92603	4.81429	1.08651	0.424144	19.3089	7.67375	19.1574	8.00584	4.84388	1.12214	0.464966	19.1939	7.86397	4.89711
1477010447250000	19.4017	8.33006	4.80447	1.11598	0.397242	19.0239	8.17194	19.4199	8.35567	4.81429	1.12892	0.424144	19.4062	8.30497	4.88862
1477010447350000	19.6083	8.7069	4.74938	1.15582	0.41474	19.6843	8.35902	19.602	8.76469	4.80447	1.1557	0.397242	19.5967	8.75494	4.88042
1477010447450000	19.738	9.21602	4.7791	1.22892	0.45199	19.6061	9.48659	19.7885	9.14429	4.74938	1.19729	0.41474	19.7645	9.21294	4.87251
1477010447550000	19.822	9.71444	4.78703	1.31075	0.502597	19.6163	9.76606	19.8859	9.66854	4.7791	1.27412	0.45199	19.9093	9.67795	4.86493
1477010447650000	19.8564	10.3794	4.94287	1.37049	0.457031	19.1911	11.5493	19.9315	10.1787	4.78703	1.36101	0.502597	20.0303	10.1489	4.85769
